text,category,subcategory,severity
"Ну ей не 60+, ей 50 где-то и есть моменты что любила выпить или просто от бедноты запустила себя так. На видриле все нормально - если фото искажена фильтрами до степени что человек натягивает пару баллов по красоте и вообще не похож на себя (а этим любят бездумно страдать женщины в возрасте и увлекаясь они не просто пытаются скрыть небольшие дефекты или печать возраста - а ставят на аву другого человека) то гудбай. На сз вы не подцепите никого годного даже гилфу 60+ как я люблю - высококлассная баба в любом возрасте высококлассная и не будет размениваться на двощер с СЗ, красивую ухоженную женщину в возрасте которая и в молодости была красоткой и которая с молоду избаловна муэским вниманием практически не зацепить в шизорнетах - если они там и есть то тупо тешат самолюбие собирая комплименты - знаю это по знакомым матери - у них даже в планах нет идти куда-то на свидос - хотя они во всю расхваливают в беседе с моей мамкой сколько у них лайков сколько им пиздолизов написало и какие высококлассные пиздолизы - самое примечательное они больше всего клюют на должность или чем занимался мужик- генерал там какой-нибудь или директор - возраст красота богатство им вторично - короче умпешный успех важен таким дамам. Ну а мои подкаты к таким дамам 60+ закончились неудачно - я не такой успешный успех видимо и был мягко отшит (я пользуюсь популярностью у ровесницы и малолеток из-за внешки если что) - одна врач-терапевт красотка - 60 лет - стройная, ноги от ушей ляя большинство малолеток позавидовало бы ее фигуре, вторая смазливая блонда закончила гитис знает всех джигарханянов вдова высокопоставленного дипломата. Обе они красивые ухоженные женщины с красивыми фигурами со вкусом одевающиеся - короче так мало кто выглядит в 60+, но в то же время на них есть печать возраста в виде морщин, венозной сети, обвислых грудей -иначе бы это не имело для меня смысла - ведь фетиш в красоте увядающего женского тела (а вовсе не в том что как мамка типа - как многие считают), иначе бы это все не имело смысла - так как есть ровесницы. Водва дипломата по лицу и фигуре копия Ники Чевус - пикрил в желтом, терапевтша прическа и лицо типа пикрил три - как раз когда я к ней начал ходить ей было где-то 55 постарше стала еще сексуальнее.",HATE,GENDER,HIGH
яйцеслав красавчик,NEUTRAL,OPINION,LOW
Как же я обосрался с этого баяна,OFFENSE,PROFANITY,LOW
Чето я с концовки в голосину.,NEUTRAL,OPINION,LOW
Скромная стеснительная женщина. Зря он так.,NEUTRAL,OPINION,LOW
Скромная стеснительная женщина  Сидит на сайте знакомств   Готова ехать ебаться к какому-то рандомному двачеру Лол,NEUTRAL,OPINION,LOW
Чето я с концовки в голосину.  зато твоя концовка всегда лишь в ладошку и это грустно,NEUTRAL,OPINION,LOW
зато твоя концовка всегда лишь в ладошку и это грустно Ну хоть ты за меня погрустил и на том спасибо.,NEUTRAL,OPINION,LOW
А мог бы в свою ладошку принять,NEUTRAL,OPINION,LOW
"Даже жаль эту женщину, просто хотела вечерок любви с более менее выглядящим парнем. К ней то наверняка только алкаши клеятся 60+",NEUTRAL,OPINION,LOW
"А с чего жаль то? Хоть какая-то капля справедливости, что женщины хоть в старости  когда внешка уже хуйня а ебаться ещё хочется  понимают как большинство мужчин чувствуют себя и живут всю жизнь, пусть хоть немного прочувствуют как это быть неликвидом и постоянно конкурировать даже за всратанов.",NEUTRAL,OPINION,LOW
"Потому что нехуй пиздеть, скидывая фотки 20-летней давности. Тоже было такое, развернулся и ушёл, даже не оставшись на чай",OFFENSE,PROFANITY,MEDIUM
"Ну так пусть ебется с такими же скуфами Петровичами, не обязательно алкашами, обычными заводчанами. Но она же почему-то молодого ебыря ищет, пусть терпит тогда",NEUTRAL,OPINION,LOW
"Ты глобально сильно мыслишь. В моменте женщину жалко, у нее достаточно сильные негативные эмоции, может быть будет плакать когда придет домой и часами глядеть в стену, заедать тонной сладостей всё",NEUTRAL,OPINION,LOW
"Пруфы, что постановы, или хуй соси, чмо.  На видео ты со своей мамкой. Сняли специально чтоб над анонами поугарать.  Все. Иди нахуй.",OFFENSE,PERSONAL_INSULT,HIGH
"пусть хоть немного прочувствуют как это быть неликвидом и постоянно конкурировать даже за всратанов.  Два чаю. Не сколько не жаль, у нее в любом случае была (а скорее всего и есть) полноценная жизнь с сексами и вниманием противоположного пола, пусть страдает. Чел с ОП видео так то еще вежливо и адекватно с ней общается. Можно было бы еще и опустить словестно.   Анон помни! Сельдь тебя не пожалеет никогда! Трави тухлодырую мразь при случае!",HATE,GENDER,HIGH
"тем легче ее использовать как унитаз, очко заставлять вылизывать, пальцы на ногах сосать, плевать в них и тд.  Нормальному человеку это не надо. Ты явно ёбнутый и полная мразота как личность.",OFFENSE,DEROGATORY_LANGUAGE,HIGH
"Если тебе меньше 70 лет, и тебе хочется только миссионерскую позу и ванильную хуйню, то у тебя очень низкий тестостерон, почти женские мозги. Это точно не нормально.",OFFENSE,PERSONAL_INSULT,MEDIUM
"60 лвл. Милфа. Макфлай, у тебя все дома?",OFFENSE,PERSONAL_INSULT,LOW
"Мой рекорд милфа 53 года, когда мне на тот момент 22 было. Она была просто пиздец какой всратой, но меня это не остановило, хотя после того как кончил грустинку словил.",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Да я бы с такой 5 часов не слезал, по самую пробку осеменил бы, блять, а он уёбок чед зажравшийся.",OFFENSE,PROFANITY,MEDIUM
"Хули вы так закомплексованы на миссионерской позе? Это, блядь, лучшая поза для секса: лежишь на тян, у тебя все по рукой - губы, сиськи, писька. И бабе подмахивать в этой позе легче всего.",OFFENSE,PROFANITY,LOW
"В ней нет проблемы, просто если у человека нормально с либидо и гормонами ему хочется ебаться много и по разному, а не скучно каждый раз одинаково под одеялом",NEUTRAL,OPINION,LOW
"Пиздец ты отчаявшийся говноед без самоуважения. Лучше всю жизнь дрочить чем опускаться до буквально бабок каких-то, фу блять",OFFENSE,PERSONAL_INSULT,HIGH
милфа  была просто пиздец какой всратой Ты понимаешь смысл термина милфа вообще?,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Бабки ебутся каждый раз как последний + у них опыта дохуища, не шаришь ты, анон.",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Как это связано вообще? Гормоны просто дают какие чувства и желания. А вот эта твоя извращенская хуйня придумана высшей нервной деятельностью, у гормонов на это мозгов нету чтобы такие сложности придумывать. Ты просто трясущаяся обезьяна, тебе кажется что ты ценнее становишься когда кого-то унижаешь и всё.",OFFENSE,DEROGATORY_LANGUAGE,HIGH
"Листван, спок. Бабам самим это нравится, когда это делает чедик (по их меркам)",NEUTRAL,OPINION,LOW
"Ну да, минусы? Сексуальные контакты это буквально dom-sub динамика примитивная пещерная, этого не понимают только колокольчики фантазирующие о чувствах любви и прочем бреде. Так что или терпишь или отказываешься от ебли.",NEUTRAL,OPINION,LOW
"Видно же по лицу, что женщина выкладывается на 200&#37;. Я бы ее этсамое",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"А нахуй это надо если выглядят, пахнут они как бабки ебаные? Я ещё могу понять 40 лет женщину, но 50+ это просто только выродки на такое идут",HATE,GENDER,HIGH
"+ у них опыта дохуища А что в этом хорошего? Опыт надо получать вместе, а не после того как твоя пассия с половиной поселка переебалась и опыта набралась. Куколд ты короче",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"чья мамка анона, признавайтесь",OFFENSE,PERSONAL_INSULT,LOW
"Бабки ебутся каждый раз как последний Блять, вы совсем уже ебанулись спермотоксикозники? Ну по такой логике можете скуфов пидоров ебать, как тот со смазочкой, там тоже отдача и желание очень сильное,то тоже самое что старых бабок ебать",HATE,LGBTQ+,HIGH
"Не проецируй, пидорас, палишься.",HATE,LGBTQ+,HIGH
"использовать как унитаз Абсолютно все бабы это пидораски омежки чмони, только выебываются как будто бессмертные.",HATE,GENDER,HIGH
"Смотря для кого. Им очень нравится и хочется подчиняться и вылизывать жопу чедику, но средних и омежных мужиков они воспринимают как биомусор, и что-то низшее, вполне искренне",HATE,GENDER,HIGH
Блядский кошелёчек,OFFENSE,PROFANITY,LOW
"Геронтофил, хватит коупить, ты в одной лиге с пидорами как раз, ебля старых мерзких бабок это такое же отклонение психики как и педерастия.",HATE,LGBTQ+,HIGH
Люди жестоки,NEUTRAL,OPINION,LOW
"Пидор, спокуху, бабки это обыкновенные женщины, просто им много лет.",HATE,LGBTQ+,HIGH
Ебутся как сучки блядские,OFFENSE,PROFANITY,MEDIUM
"Нет не такие же, это коупиум извращенца или того кому другие не дают. Привлекательность женщины строго на природном уровне привязана к ее фертильности, когда у бабы наступает менопауза, любым здоровым человеком она перестает восприниматься как секс объект, мозг считывает что она выносить ребенка уже не в состоянии. Возбуждаются на это только шизы с нарушениями развития",HATE,GENDER,HIGH
"Тебе ли не похуй, чел? Тебе же вообще никто не даст.",OFFENSE,PERSONAL_INSULT,MEDIUM
"Просто хотел пояснить челу почему он заблуждается. А так пусть ебутся кто с кем хочет, я же не против что кто-то и старых бабушек делает счастливыми, но сути дела не меняет.",NEUTRAL,OPINION,LOW
"Бляять, какие же вы говноеды сука. Я этого никогда не пойму, откуда у вас столько терпения и энергии, чтоб заморачиваться ради ебли всратух? Я лучше подрочу с кайфом, чем буду тратить время на какую-то дряблую шмоньку. Что тобой движет? В чем профит простт брать любых без разбору?",OFFENSE,DEROGATORY_LANGUAGE,HIGH
"Привлекательность женщины строго на природном уровне привязана к ее фертильности Педофил, спок.",HATE,GENDER,HIGH
"Он просто ебанутый с фиксацией на пизде. Таким обычно в 14-16 лет натягивают шмоньку на уши и потом этот балбес по жизни с этой шмонькой на голове и марширует, подлизываясь к любой мерзости ради писи.",OFFENSE,DEROGATORY_LANGUAGE,HIGH
